theta1_init,theta2_init,theta1,theta2
0.0,0.0,0.0,0.0
0.0,1.2566370614359172,-0.674114590554605,0.01889880478661131
0.0,2.5132741228718345,-0.053594751298573315,-1.4636602693139258
0.0,3.7699111843077517,0.05359404714960158,7.746830636597422
0.0,5.026548245743669,0.6741082428788723,6.264297469969405
0.0,6.283185307179586,4.3019659048004094e-15,6.28318530717958
1.2566370614359172,0.0,-0.24746945547326898,1.733165637259288
1.2566370614359172,1.2566370614359172,-1.250313386744242,-1.236815281440021
1.2566370614359172,2.5132741228718345,-0.10390983547069639,5.655426438817551
1.2566370614359172,3.7699111843077517,0.574494912231232,-14.06410193826594
1.2566370614359172,5.026548245743669,0.42401987185020584,5.044643767413366
1.2566370614359172,6.283185307179586,-0.24748484947268146,8.016330503935508
2.5132741228718345,0.0,1.39927261541753,22.35602219236036
2.5132741228718345,1.2566370614359172,-0.4777453981406329,-42.724526472741736
2.5132741228718345,2.5132741228718345,-27.8870679562081,23.933248990237562
2.5132741228718345,3.7699111843077517,20.595293791893216,46.86300221424713
2.5132741228718345,5.026548245743669,14.302802882797847,41.898531758788934
2.5132741228718345,6.283185307179586,1.1659357642945611,39.25274274900234
3.7699111843077517,0.0,4.037850931053143,5.838314760166294
3.7699111843077517,1.2566370614359172,8.769051979925383,-30.939899004416276
3.7699111843077517,2.5132741228718345,42.86084861447267,19.99104396463595
3.7699111843077517,3.7699111843077517,52.547183149365495,-4.843282654499765
3.7699111843077517,5.026548245743669,0.5353442262426984,57.831205094770944
3.7699111843077517,6.283185307179586,5.665585299977535,1.8165842411780038
5.026548245743669,0.0,6.530656862116779,-1.733163855017009
5.026548245743669,1.2566370614359172,5.835042152734504,1.2364137771671075
5.026548245743669,2.5132741228718345,6.9191257378211874,36.35569818434507
5.026548245743669,3.7699111843077517,4.908732249462769,11.779314351099464
5.026548245743669,5.026548245743669,7.533498715730158,7.520000223507774
5.026548245743669,6.283185307179586,6.530669020900676,4.550036947336708
6.283185307179586,0.0,6.2831853071795765,2.1341422028005534e-14
6.283185307179586,1.2566370614359172,5.609071628703663,0.01889723441230059
6.283185307179586,2.5132741228718345,6.229591836054234,-1.463650514889191
6.283185307179586,3.7699111843077517,6.336778624226482,7.746837764162266
6.283185307179586,5.026548245743669,6.957296277147876,6.264292806766111
6.283185307179586,6.283185307179586,6.283185307179585,6.283185307179587
